number,height,weight,name,type,ThumbnailImage
650,4,90,chespin,grass,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/650.png
651,7,290,quilladin,grass,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/651.png
652,16,900,chesnaught,"grass, fighting",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/652.png
653,4,94,fennekin,fire,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/653.png
654,10,145,braixen,fire,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/654.png
655,15,390,delphox,"fire, psychic",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/655.png
656,3,70,froakie,water,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/656.png
657,6,109,frogadier,water,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/657.png
658,15,400,greninja,"water, dark",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/658.png
659,4,50,bunnelby,normal,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/659.png
660,10,424,diggersby,"normal, ground",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/660.png
263,4,175,zigzagoon,normal,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/263.png
264,5,325,linoone,normal,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/264.png
661,3,17,fletchling,"normal, flying",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/661.png
662,7,160,fletchinder,"fire, flying",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/662.png
663,12,245,talonflame,"fire, flying",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/663.png
16,3,18,pidgey,"normal, flying",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/16.png
17,11,300,pidgeotto,"normal, flying",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/17.png
18,15,395,pidgeot,"normal, flying",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/18.png
664,3,25,scatterbug,bug,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/664.png
665,3,84,spewpa,bug,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/665.png
666,12,170,vivillon,"bug, flying",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/666.png
10,3,29,caterpie,bug,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10.png
11,7,99,metapod,bug,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/11.png
12,11,320,butterfree,"bug, flying",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/12.png
13,3,32,weedle,"bug, poison",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/13.png
14,6,100,kakuna,"bug, poison",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/14.png
15,10,295,beedrill,"bug, poison",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/15.png
511,6,105,pansage,grass,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/511.png
512,11,305,simisage,grass,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/512.png
513,6,110,pansear,fire,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/513.png
514,10,280,simisear,fire,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/514.png
515,6,135,panpour,water,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/515.png
